product_id,name,brand,category,price,unit_price,unit_price_qt,currency,timestamp,is_offer
67095,"Snadder sjalottløk 4 stk Nederland, 150 g",,Grønnsaker,39.9,266,kilogram,NOK,2026-03-03T12:54:44.588Z,false
67098,"Snadder rødløk 4 stk Norsk, 400 g",,Grønnsaker,37.9,94.75,kilogram,NOK,2026-03-03T12:54:44.589Z,false
63828,"Rødbeter , økologisk , Norge 1 stk",,Grønnsaker,64.1,128.2,kilogram,NOK,2026-03-03T12:54:44.590Z,false
53906,"Paprika Padron Marokko / Nederland, 200 g",,Grønnsaker,39.9,199.5,kilogram,NOK,2026-03-03T12:54:44.592Z,false
66097,Ancho Chili 100 g,Krydra,Grønnsaker,109,1090,kilogram,NOK,2026-03-03T12:54:44.593Z,false
66100,Guajillo Chili 100 g,Krydra,Grønnsaker,109,1090,kilogram,NOK,2026-03-03T12:54:44.594Z,false
66101,Chipotle Chili 100 g,Krydra,Grønnsaker,109,2180,kilogram,NOK,2026-03-03T12:54:44.595Z,false
66099,Chili de Arbol 50 g,Krydra,Grønnsaker,69.9,1398,kilogram,NOK,2026-03-03T12:54:44.597Z,false
65542,"Tørket shiitake Økologisk, 20 g",Myhres Matsopp,Grønnsaker,79.9,3995,kilogram,NOK,2026-03-03T12:54:44.598Z,false
65544,"Lions Mane tørket Økologisk, 20 g",Myhres Matsopp,Grønnsaker,79.9,3995,kilogram,NOK,2026-03-03T12:54:44.599Z,false
65545,"Tørket maitake Økologisk, 20 g",Myhres Matsopp,Grønnsaker,79.9,3995,kilogram,NOK,2026-03-03T12:54:44.600Z,false
65543,"Tørket kongeøsters Økologisk, 20 g",Myhres Matsopp,Grønnsaker,79.9,3995,kilogram,NOK,2026-03-03T12:54:44.600Z,false
22480,"Brokkolini Kenya / Spania, 200 g",,Grønnsaker,42.9,214.5,kilogram,NOK,2026-03-03T12:54:44.601Z,false
67471,"Artisjokk Fersk Frankrike/ Spania, 1 stk",,Grønnsaker,22.9,22.9,stykk,NOK,2026-03-03T12:54:44.602Z,false
23092,"Blå / Rød Plommer I kurv, Sør Afrika, 500 g",,Frukt,44.3,88.6,kilogram,NOK,2026-03-03T12:54:45.201Z,false
184,"Røde Appelsiner Italia, 1 kg",,Frukt,50.9,50.9,kilogram,NOK,2026-03-03T12:54:45.203Z,false
26721,"Økologiske Klementiner Spania/ Hellas, 500 g",,Økologisk frukt og grønt,32.2,64.4,kilogram,NOK,2026-03-03T12:54:45.204Z,false
27714,"Honningmelon Skivet Brasil, 200 g",,Frukt,39.4,197,kilogram,NOK,2026-03-03T12:54:45.206Z,false
27713,"Cantaloupemelon i Skiver Spania, 200 g",,Frukt,39.2,196,kilogram,NOK,2026-03-03T12:54:45.207Z,false
9260,"Druer Grønne Stenfrie Kurv Brasil/ Peru/ SørAfrika, 500 g",,Frukt,36.68,73.36,kilogram,NOK,2026-03-03T12:54:45.208Z,true
26541,"Pink Lady Epler Italia/ Sør Afrika, 6 stk",,Frukt,51.9,61.06,kilogram,NOK,2026-03-03T12:54:45.209Z,false
27248,"Sitroner 2 stk Argentina / Spania, 380 g",,Frukt,29,76.32,kilogram,NOK,2026-03-03T12:54:45.210Z,false
9314,"Ananas Gold Ghana / Costa Rica, Ca 1kg",,Frukt,33.68,33.68,kilogram,NOK,2026-03-03T12:54:45.211Z,true
9335,"Honningmelon Spania  / Brasil, 1 stk",,Frukt,46.3,42.09,kilogram,NOK,2026-03-03T12:54:45.212Z,false
19432,"Økologiske Bananer 5-6 Stk. Fairtrade, Ecuador / Peru, 800 g",,Økologisk frukt og grønt,29.5,36.88,kilogram,NOK,2026-03-03T12:54:45.213Z,false
9263,"Druer Røde Stenfrie Kurv Namibia/ SørAfrika/ Peru, 500 g",,Frukt,47.9,95.8,kilogram,NOK,2026-03-03T12:54:45.214Z,false
27169,"Epler, Grønne, 6 pk Maks 3 til nedsatt pris, Granny Smith, Italia, 900 g",,Frukt,24.5,27.22,kilogram,NOK,2026-03-03T12:54:45.215Z,true
27045,"Klementiner Spania/ Marokko, 1 kg",,Frukt,54.9,54.9,kilogram,NOK,2026-03-03T12:54:45.216Z,false
